street_address,suburb,city,postcode,property_type2,bedrooms,bathrooms,garage_parks,offstreet_parks,Carparks,land_size,floor_size,year_built,last_rent_price,last_rent_date,days_on_market,agency,capital_value,land_value,improvement_value,valuation,land_use,development_zone,position,view,roof_construction,wall_construction,category,furnishings,furnishings_evidence,pets,garage,Latitude,Longitude
51 Head Street,Sumner,Christchurch City,8081,House,3,2,,2,,511,90,1945,650,1/09/2025,23,Ray White Morris & Co Property Management Ltd,900000,660000,240000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Weatherboard,Residential-Dwelling-1940's-average,,,,No,-43.5762604,172.7649454
4 Chartwell Street,Burwood,Christchurch City,8083,House,3,1,1,1,2,630,90,1960,650,11/09/2025,13,Rent Wise Property Management,590000,365000,225000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-1960's-average,,,,Yes,-43.4827619,172.6840387
155 HASTINGS STREET EAST,WALTHAM,CHRISTCHURCH,8023,House,3,1,,1,1,443,91,1930,650,19/03/2025,141,Harcourts Gold,660000,415000,245000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-1930's-average,partial,dining table,,NO,-43.5485409,172.6484202
3/7 HERCULES STREET,SHIRLEY,CHRISTCHURCH,8013,Townhouse,3,1,1,,1,175,91,2024,650,21/03/2025,7,Propertyscouts Christchurch Metro,620000,200000,420000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Rear,No appreciable view,Steel/G-Iron,Brick,Residential-OYO-2020/2029-average,nill,,,YES,-43.5050364,172.6587896
12/9C CUFFS ROAD,WAINONI,CHRISTCHURCH,8061,Townhouse,3,2,1,,1,175,91,2025,650,1/09/2025,9,Monopoly Property Management Limited,515000,160000,355000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Steel/G-Iron,Fibre Cement,Residential-OYO-2020/2029-average,nill,,,YES,-43.519448,172.6865838
54 CASTLETOWN PLACE,NEW BRIGHTON,CHRISTCHURCH,8083,House,3,1,,2,2,736,92,1970,650,11/03/2025,7,Iron Bridge Property Management - Christchurch,550000,280000,270000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-Dwelling-1970's-average,nill,,Pets OK,NO,-43.4976475,172.7127219
22 CASCADE PLACE,SUMNER,CHRISTCHURCH,8081,House,3,1,,1,1,668,92,1980,650,7/06/2025,2,Iron Bridge Property Management - Christchurch,735000,440000,295000,1/08/2022,Single Unit excluding Bach,Residential Hills,Inside,No appreciable view,Steel/G-Iron,Fibre Cement,Residential-Dwelling-1980's-average,nill,,,NO,-43.5839847,172.7538192
4 THORNESS STREET,AVONDALE,CHRISTCHURCH,8061,House,3,1,,1,1,516,94,1980,650,8/05/2025,8,Freedom Property Management Limited,540000,270000,270000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Concrete,Residential-Dwelling-1980's-average,nill,,,NO,-43.5030921,172.6987784
1/72 ELIZABETH STREET,RICCARTON,CHRISTCHURCH,8041,House,3,1,,1,1,,95,1910,650,28/01/2025,78,Orbit Property Management Ltd,610000,395000,215000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-1914/1929-average,nill,,,NO,-43.535207,172.597639
2/26 Warrington Street,St. Albans,Christchurch City,8013,Townhouse,3,2,,1,1,164,96,2020,650,26/08/2025,29,Rent Wise Property Management,690000,240000,450000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-OYO-2020/2029-average,nill,unfurnished,,No,-43.5082293,172.6441069
5/15 BUNYAN STREET,WALTHAM,CHRISTCHURCH,8023,Townhouse,3,3,1,,1,185,97,2022,650,25/03/2025,29,Prestige Property Management Ltd,770000,220000,550000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Rear,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,partial,fridge,,YES,-43.551172,172.6480271
