street_address,suburb,city,postcode,property_type2,bedrooms,bathrooms,garage_parks,offstreet_parks,Carparks,land_size,floor_size,year_built,last_rent_price,last_rent_date,days_on_market,agency,capital_value,land_value,improvement_value,valuation,land_use,development_zone,position,view,roof_construction,wall_construction,category,furnishings,furnishings_evidence,pets,garage,Latitude,Longitude
4/56 WAINUI STREET,RICCARTON,CHRISTCHURCH,8041,Townhouse,3,3,1,,1,132,97,2023,650,22/06/2025,45,Holmwood Property Management,690000,230000,460000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Rear,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,partial,washing machine,No,YES,-43.5353473,172.593969
118D Blenheim Road,Riccarton,Christchurch City,8041,Townhouse,3,2,,1,1,135,97,2021,650,27/08/2025,28,Wolfbrook Property Management,810000,340000,470000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,,,Pets OK,No,-43.536751,172.6006021
5/46 LINDSAY STREET,ST ALBANS,CHRISTCHURCH,8014,Townhouse,3,1,1,,1,147,99,2025,650,11/07/2025,7,Holmwood Property Management,720000,260000,460000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,partial,fridge,,YES,-43.5109768,172.6410396
127 AYLESFORD STREET,MAIREHAU,CHRISTCHURCH,8013,House,3,1,,2,2,506,100,1930,650,3/04/2025,7,Myrent.Co.NZ Ltd,660000,320000,340000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-1930's-average,partial,microwave;washing machine,Pets OK,NO,-43.5064982,172.6504962
102 EFFINGHAM STREET,NORTH NEW BRIGHTON,CHRISTCHURCH,8083,House,3,1,,1,1,615,100,1960,650,22/05/2025,7,-,620000,285000,335000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-Dwelling-1960's-average,nill,,,NO,-43.4891672,172.7176399
114 BAKER STREET,NEW BRIGHTON,CHRISTCHURCH,8083,House,3,1,,2,2,670,100,1950,650,11/07/2025,2,Holmwood Property Management St Albans,685000,275000,410000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Weatherboard,Residential-Dwelling-1950's-average,nill,,No,NO,-43.5028444,172.7155008
360 Blenheim road,Upper Riccarton,Christchurch City,8041,House,3,2,,1,1,774,100,1950,650,28/08/2025,27,,580000,380000,200000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Weatherboard,Residential-Dwelling-1950's-average,,,Pets OK,No,-43.538865,172.5768172
360 BLENHEIM ROAD,UPPER RICCARTON,CHRISTCHURCH,8041,House,3,1,,1,1,774,100,1950,650,29/08/2025,12,-,580000,380000,200000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Weatherboard,Residential-Dwelling-1950's-average,nill,,,NO,-43.538865,172.5768172
37A Attlee Crescent,Bryndwr,Christchurch City,8053,house,3,1,1,2,1,556,100,1990,650,31/08/2025,24,myRent.co.nz Ltd,540000,340000,200000,1/08/2022,Multi-unit,Residential Suburban,Rear,No appreciable view,Steel/G-Iron,Brick,Residential-OYO-1990's-average,,,,Yes,-43.5064561,172.5836902
3/136 Simeon Street,Spreydon,Christchurch City,8024,Townhouse,3,2,,1,2,166,100,2023,650,22/09/2025,2,Harcourts Asset Managers,700000,240000,460000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Rear,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,,,,No,-43.5505545,172.6174089
57B RUSKIN STREET,ADDINGTON,CHRISTCHURCH,8024,Townhouse,3,2,1,,1,139,101,2025,650,7/06/2025,66,Freedom Property Management Limited,680000,170000,510000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,,YES,-43.5458897,172.6255314
282 Hoon Hay Road,Hoon Hay,Christchurch City,8025,House,3,1,1,3,1,685,102,1950,650,21/09/2025,3,myRent.co.nz Ltd,710000,465000,245000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Corner,No appreciable view,Steel/G-Iron,Brick,Residential-Dwelling-1950's-average,,,,Yes,-43.570779,172.6114622
187 MOUNT PLEASANT ROAD,MOUNT PLEASANT,CHRISTCHURCH,8081,House,3,1,1,,1,1037,103,1960,650,8/08/2025,17,Bayleys Property Management Ltd,930000,370000,850000,1/08/2022,Stock Finishing,Lakeside Protection Area,,,,,Pastoral-Fattening-uneconomic-separate,nill,,Pets OK,YES,-43.566285,172.7186864
4 DAYTONA PLACE,PARKLANDS,CHRISTCHURCH,8083,House,3,1,,2,2,605,103,1970,650,3/09/2025,22,Harcourts Asset Managers,530000,355000,175000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Corner,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1970's-average,partial,fridge;fridge/freezer,,NO,-43.4809646,172.6953842
6/2 ALBEMARLE STREET,SYDENHAM,CHRISTCHURCH,8023,Townhouse,3,3,,1,1,95,104,2022,650,13/03/2025,34,Brooksfield,750000,170000,580000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-OYO-2020/2029-average,nill,,,NO,-43.5482233,172.6415406
5 SHAFTESBURY STREET,AVONHEAD,CHRISTCHURCH,8042,House,3,2,,2,2,420,104,1960,650,11/04/2025,7,Bayleys Property Management Ltd,630000,355000,275000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1960's-average,,,,NO,-43.5144799,172.5601596
99 SUVA STREET,UPPER RICCARTON,CHRISTCHURCH,8041,House,3,1,,1,1,898,104,1950,650,29/07/2025,289,"Progressive First National - Progressive Realty Ltd Mreinz, (Licensed: Reaa 2008)",600000,480000,120000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Tile Profile,Weatherboard,Residential-Dwelling-1950's-average,nill,,,NO,-43.5348892,172.5780468
4/24 ANDOVER STREET,MERIVALE,CHRISTCHURCH,8014,Townhouse,3,3,,1,1,,105,2019,650,23/01/2025,8,"Cowdy, (Licensed: Reaa 2008)",850000,405000,445000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-OYO-2010/2019-average,nill,,,NO,-43.5205935,172.6214581
5 YALE STREET,SPREYDON,CHRISTCHURCH,8024,House,3,1,,1,1,683,105,1955,650,15/08/2025,111,-,630000,620000,10000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1950's-average,nill,,,NO,-43.5555865,172.6135753
258 HALSWELL ROAD,HALSWELL,CHRISTCHURCH,8025,House,3,1,,2,2,809,106,1950,650,25/01/2025,7,Myrent.Co.NZ Ltd,680000,440000,240000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Weatherboard,Residential-Dwelling-1950's-average,nill,,,NO,-43.5729091,172.570311
4/47 AMYES ROAD,HORNBY,CHRISTCHURCH,8042,Townhouse,3,2,1,,1,125,106,2024,650,7/05/2025,15,Grenadier Rent Shop Limited,540000,160000,380000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-OYO-2020/2029-average,nill,,,YES,-43.5483913,172.5296261
127 ROKER STREET,SOMERFIELD,CHRISTCHURCH,8024,House,3,1,,1,1,685,106,1920,650,5/06/2025,7,-,890000,540000,350000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-1914/1929-superior,,,,NO,-43.5531527,172.6305502
26B BLETSOE AVENUE,SPREYDON,CHRISTCHURCH,8024,Townhouse,3,2,1,,1,135,107,2023,650,19/03/2025,169,Harcourts Gold,740000,250000,490000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,,YES,-43.5525878,172.6222625
77 FARQUHARS ROAD,REDWOOD,CHRISTCHURCH,8051,House,3,1,,2,2,612,108,1975,650,24/02/2025,7,Myrent.Co.NZ Ltd,650000,315000,335000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Concrete,Residential-Dwelling-1970's-average,nill,,,NO,-43.4681005,172.6253579
93 MALCOLM AVENUE,BECKENHAM,CHRISTCHURCH,8023,House,3,1,,1,1,518,108,1920,650,8/03/2025,5,-,730000,485000,245000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-1914/1929-average,nill,,,NO,-43.5648065,172.6442438
18C COLLINS STREET,ADDINGTON,CHRISTCHURCH,8024,Townhouse,3,2,1,,1,154,108,2019,650,13/08/2025,29,"Cowdy, (Licensed: Reaa 2008)",660000,170000,490000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,,YES,-43.5465603,172.6171107
18C Collins Street,Addington,Christchurch City,8024,Townhouse,3,2,,1,1,154,108,2019,650,13/08/2025,42,"Cowdy, (Licensed: REAA 2008)",660000,170000,490000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,,,,No,-43.5465603,172.6171107
11 Oakvale Lane,Halswell,Christchurch City,8025,House,3,2,1,1,1,312,108,2024,650,19/09/2025,5,"Cowdy, (Licensed: REAA 2008)",700000,390000,310000,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Inside,No appreciable view,Tile Profile,"Roughcast,etc",Residential-Dwelling-2020/2029-average,,,,Yes,-43.5954622,172.5702791
62 CLEVELAND STREET,EDGEWARE,CHRISTCHURCH,8013,Townhouse,3,2,1,,1,235,109,2023,650,18/02/2025,7,Harcourts Asset Managers,710000,280000,430000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,,YES,-43.5090954,172.649093
6 GLADSON AVENUE,SOCKBURN,CHRISTCHURCH,8042,House,3,1,,1,1,719,110,1950,650,23/01/2025,8,Sunshine Housing Ltd,600000,460000,140000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-Dwelling-1950's-average,nill,,,NO,-43.5324549,172.560377
1/1 BENGAL DRIVE,CASHMERE,CHRISTCHURCH,8022,Unit,3,2,1,,1,,110,1970,650,20/02/2025,7,-,610000,285000,355000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,Focal Point Of view - Other,Tile Profile,"Roughcast,etc",Residential-OYO-1970's-average,nill,,No,YES,-43.5716314,172.6190417
72 HOUNSLOW STREET,ILAM,CHRISTCHURCH,8041,House,3,1,,1,1,398,110,1960,650,25/02/2025,22,Red Chili Property Management Ltd,610000,425000,185000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,"Roughcast,etc",Residential-Dwelling-1960's-average,nill,,,NO,-43.5113986,172.5675712
7 SILVESTER STREET,WOOLSTON,CHRISTCHURCH,8023,House,3,1,,2,2,642,110,1969,650,11/03/2025,7,Grenadier Rent Shop Ltd,705000,465000,240000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-Dwelling-1960's-average,nill,,,NO,-43.5478915,172.6716928
40 SAPPHIRE STREET,CASEBROOK,CHRISTCHURCH,8051,House,3,1,,2,2,629,110,1980,650,25/03/2025,15,Harcourts Gold,730000,395000,335000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Concrete,Residential-Dwelling-1980's-average,nill,,,NO,-43.4783316,172.5943735
91 CHELSEA STREET,LINWOOD,CHRISTCHURCH,8062,House,3,1,,1,1,664,110,1980,650,3/04/2025,7,Proactive Property Management,530000,310000,220000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Rear,No appreciable view,Tile Profile,Concrete,Residential-Dwelling-1980's-average,nill,,,NO,-43.5305818,172.680604
329 LYTTELTON STREET,SPREYDON,CHRISTCHURCH,8024,House,3,1,,2,2,355,110,1940,650,9/04/2025,8,Freedom Property Management Limited,600000,340000,260000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Corner,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-1940's-average,nill,,,NO,-43.5521829,172.6028902
2/6 FLORANCE PLACE,PARKLANDS,CHRISTCHURCH,8083,Unit,3,1,1,,1,,110,1980,650,12/04/2025,7,Rent Wise Property Management,490000,230000,260000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Tile Profile,Brick,Residential-OYO-1980's-average,nill,,,YES,-43.4842322,172.7126699
1 KINRARA PLACE,HALSWELL,CHRISTCHURCH,8025,House,3,1,,2,2,686,110,1950,650,27/04/2025,25,Myrent.Co.NZ Ltd,570000,395000,175000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Corner,No appreciable view,Steel/G-Iron,Brick,Residential-Dwelling-1950's-average,nill,,Pets OK,NO,-43.5827485,172.5659623
12 PLUNKET STREET,SPREYDON,CHRISTCHURCH,8024,House,3,1,,1,1,339,110,1920,650,2/05/2025,7,Rent Wise Property Management,620000,390000,230000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Tile Profile,Weatherboard,Residential-Dwelling-1914/1929-average,nill,,,NO,-43.552213,172.6079267
39 DILWORTH STREET,RICCARTON,CHRISTCHURCH,8041,House,3,1,1,,1,,110,1930,650,7/05/2025,7,Holmwood Property Management,675000,345000,330000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Rear,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-1930's-average,nill,,,YES,-43.532128,172.5999167
24 DELPH STREET,AVONHEAD,CHRISTCHURCH,8042,House,3,1,,1,1,751,110,1960,650,9/05/2025,7,-,650000,495000,155000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-Dwelling-1960's-average,nill,,No,NO,-43.51462,172.5560382
74B BRYNLEY STREET,HORNBY,CHRISTCHURCH,8042,House,3,1,,1,1,1176,110,1950,650,25/05/2025,7,Superior Property Management Limited,600000,390000,210000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Rear,No appreciable view,Steel/G-Iron,Brick,Residential-Dwelling-1950's-average,nill,,,NO,-43.549185,172.532684
154 MARSHLAND ROAD,SHIRLEY,CHRISTCHURCH,8061,House,3,1,,1,1,612,110,1960,650,30/05/2025,15,Harcourts Asset Managers,560000,320000,240000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1960's-average,nill,,,NO,-43.4971051,172.6619425
1/14 RADNOR STREET,ST ALBANS,CHRISTCHURCH,8014,,3,1,,,,,110,1910,650,10/06/2025,36,Birds Nest Property Management,440000,440000,0,1/08/2022,Vacant Residential,Residential Suburban Density Transition,Inside,No appreciable view,,,Residential-Vacant Site,,,,NO,-43.5123695,172.6334355
60 PEER STREET,UPPER RICCARTON,CHRISTCHURCH,8041,House,3,1,,2,2,343,110,1950,650,26/07/2025,2,Orbit Property Management,590000,425000,165000,1/08/2022,Single Unit excluding Bach,Residential Zone D,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1950's-average,nill,,,NO,-43.5263198,172.5710371
4 Bateman Avenue,Bryndwr,Christchurch City,8053,House,3,2,,3,3,642,110,1940,650,28/07/2025,58,Keyhook,670000,495000,175000,1/08/2022,Single Unit excluding Bach,,Inside,No appreciable view,Tile Profile,Weatherboard,Residential-Dwelling-1940's-average,Fully Furnished,,Pets OK,No,-43.5082371,172.5913318
13 STOKE STREET,SUMNER,CHRISTCHURCH,8081,House,3,1,,,,511,110,1890,650,5/08/2025,2,Holmwood Property Management,985000,800000,185000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-pre 1914-average,nill,,,NO,-43.5704521,172.7612112
13 Stoke Street,Sumner,Christchurch City,8081,House,3,1,,,,511,110,,650,5/08/2025,50,Holmwood Property Management,985000,800000,185000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-pre 1914-average,,,Pets OK,No,-43.5704521,172.7612112
13 Wallace Street,Bryndwr,Christchurch City,8053,House,3,1,1,1,1,645,110,1950,650,5/08/2025,50,"Ray White Bishopdale (Inline Realty Ltd), (Licensed: REAA 2008)",730000,500000,230000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-Dwelling-1950's-average,,,,Yes,-43.5010099,172.5955575
94 KENDAL AVENUE,BURNSIDE,CHRISTCHURCH,8053,House,3,2,,2,2,997,110,1960,650,7/08/2025,7,Quinovic Merivale,660000,510000,150000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Tile Profile,Concrete,Residential-Dwelling-1960's-average,nill,,,NO,-43.4984996,172.5703865
9a Lothian Street,Ilam,Christchurch City,8041,house,3,1,,2,2,598,110,,650,22/08/2025,33,Harcourts Asset Managers,790000,470000,320000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Tile Profile,"Roughcast,etc",Residential-Dwelling-1980's-average,,,,No,-43.5148436,172.5822823
461 MAIREHAU ROAD,PARKLANDS,CHRISTCHURCH,8083,House,3,1,,1,1,615,110,1970,650,29/08/2025,12,Rent Wise Property Management,600000,330000,270000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Concrete,Residential-Dwelling-1970's-average,nill,,,NO,-43.4828717,172.7005012
461 Mairehau Road,Parklands,Christchurch City,8083,House,3,1,1,1,1,615,110,1970,650,29/08/2025,26,Rent Wise Property Management,600000,330000,270000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Concrete,Residential-Dwelling-1970's-average,,,Pets OK,Yes,-43.4828717,172.7005012
28a Inglewood Place,Avonhead,Christchurch City,8042,house,3,2,2,2,2,535.5539823,110,1990,650,12/09/2025,12,RentWorks Property Management 2018 Ltd,770000,480000,290000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-Dwelling-1990's-average,,,,Yes,-43.5108989,172.5526855
6 Larsens Road,Halswell,Christchurch City,8025,House,3,1,2,2,2,607,110,1970,650,19/09/2025,5,Grenadier Rent Shop Ltd,600000,390000,210000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1970's-average,,,Pets OK,Yes,-43.591324,172.5686698
17 Lansbury Avenue,Strowan,Christchurch City,8052,House,3,1,,2,2,615,110,1930,650,22/09/2025,2,Grenadier Rent Shop Ltd,870000,670000,200000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-1930's-average,,,Pets OK,No,-43.5036932,172.6066287
161 CONDELL AVENUE,PAPANUI,CHRISTCHURCH,8053,House,3,1,,1,1,642,111,1955,650,24/04/2025,7,Max Property Management Ltd,540000,520000,20000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1950's-average,nill,,Pets OK,NO,-43.498289,172.5970221
45 CORSAIR DRIVE,WIGRAM,CHRISTCHURCH,8042,House,3,1,1,,1,256,111,2018,650,2/05/2025,3,Harcourts Asset Managers,720000,365000,355000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-Dwelling-2010/2019-average,nill,,,YES,-43.5492768,172.5469181
4/6 STRAUSS PLACE,SOMERFIELD,CHRISTCHURCH,8024,Townhouse,3,2,1,,1,133,111,2025,650,3/09/2025,7,"Mosaic Property Management, (Licensed: Reaa 2008)",690000,210000,480000,1/08/2022,Single Unit excluding Bach,Residential Zone D,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,partial,dryer;washer;washer/dryer,Pets OK,YES,-43.559791,172.6206412
4/6 Strauss Pl,Somerfield,Christchurch City,8024,townhouse,3,2,1,,1,133,111,1970,650,3/09/2025,21,"Mosaic Property Management, (Licensed: REAA 2008)",690000,210000,480000,1/08/2022,Single Unit excluding Bach,,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,partial,dryer;washer;washer/dryer,Pets OK,Yes,-43.559791,172.6206412
65 WINDERMERE ROAD,PAPANUI,CHRISTCHURCH,8053,House,3,1,,1,1,607,111,1940,650,4/09/2025,6,Bayleys Property Management Ltd,620000,570000,50000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Weatherboard,Residential-Dwelling-1940's-average,nill,,Pets OK,NO,-43.5004799,172.6027997
65 Windermere Rd,Papanui,Christchurch City,8053,House,3,1,1,2,1,607,111,1940,650,,,Bayleys Property Management Ltd,620000,570000,50000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Weatherboard,Residential-Dwelling-1940's-average,,,Pets OK,Yes,-43.5004799,172.6027997
109 TRAFALGAR STREET,ST ALBANS,CHRISTCHURCH,8014,House,3,1,,2,2,402,112,1930,650,3/04/2025,76,-,790000,430000,360000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-1930's-average,nill,,,NO,-43.5089912,172.6333368
98D GERALDINE STREET,EDGEWARE,CHRISTCHURCH,8013,Townhouse,3,2,1,,1,180,112,2025,650,10/07/2025,7,Opes Property Management South Limited,740000,250000,490000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,Pets OK,YES,-43.5160663,172.6481907
1 BARD STREET,SOMERFIELD,CHRISTCHURCH,8024,House,3,1,,1,1,615,113,1940,650,16/01/2025,7,-,640000,530000,110000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Corner,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1940's-average,nill,,,NO,-43.5596741,172.6284049
17B OTTAWA ROAD,WAINONI,CHRISTCHURCH,8061,House,3,2,,1,1,,113,1940,650,23/01/2025,8,-,550000,230000,320000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-1940's-average,nill,,,NO,-43.5180912,172.6882958
12 HEATHGLEN AVENUE,PARKLANDS,CHRISTCHURCH,8083,House,3,1,,2,2,642,113,1970,650,1/03/2025,7,"Bright Realty & Property Management, (Licensed: Reaa 2008)",630000,345000,285000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Concrete,Residential-Dwelling-1970's-average,partial,double beds,,NO,-43.4779353,172.6985561
304A FERRY ROAD,WALTHAM,CHRISTCHURCH,8011,House,3,1,,2,2,212,113,1935,650,3/06/2025,12,Myrent.Co.NZ Ltd,460000,240000,220000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Tile Profile,Weatherboard,Residential-Dwelling-1930's-average,partial,microwave,Pets OK,NO,-43.54155,172.6617161
