Street Address,Suburb,Postcode,Bed,Bath,Car,Land Size (m²),Floor Size (m²),Year Built,Last Rental Price,Last Rental Date,Days on Market,Active Listing,Capital Value,Living Space (m²),3-Month Period,Actual Price per m²,Expected Price per m²
54 NORRIE STREET ,"Redwood, Christchurch",8051,3,1,2,668.0,122,1960,580.0,2023-04-19,7,False,"$630,000",122,2023Q2,4.754098360655738,4.718294365924164
17 TUCKERS ROAD ,"Redwood, Christchurch",8051,3,1,2,726.0,100,1965,580.0,2023-10-10,7,False,"$630,000",100,2023Q4,5.8,5.509508501144984
11 VALERIE PLACE ,"Redwood, Christchurch",8051,3,1,2,607.0,120,1970,580.0,2024-07-30,7,False,"$590,000",120,2024Q3,4.833333333333333,4.747916870441464
39 VAGUES ROAD ,"Northcote, Christchurch",8052,3,1,2,728.0,150,1950,575.0,2024-09-10,10,True,"$870,000",150,2024Q3,3.8333333333333335,3.8665913826242755
22A DUNEDIN STREET ,"Redwood, Christchurch",8051,3,1,2,642.0,150,1990,575.0,2023-04-29,7,False,"$670,000",150,2023Q2,3.8333333333333335,3.742471247105303
468 GREERS ROAD ,"Bishopdale, Christchurch",8053,3,1,2,792.0,130,1960,570.0,2024-07-12,7,False,"$650,000",130,2024Q3,4.384615384615385,4.422085285790886
28 BROCKHAM STREET ,"Casebrook, Christchurch",8051,3,1,1,488.0,107,1960,570.0,2023-12-03,7,False,"$600,000",107,2023Q4,5.327102803738318,5.356396407732473
47 SAWYERS ARMS ROAD ,"Northcote, Christchurch",8052,3,1,2,642.0,110,1940,570.0,2024-04-09,7,False,"$520,000",110,2024Q2,5.181818181818182,5.242294594172086
3 FREEBAIRN STREET ,"Redwood, Christchurch",8051,3,1,2,607.0,122,1960,570.0,2023-12-10,15,False,"$630,000",122,2023Q4,4.672131147540983,4.718294365924164
2/5 HIBISCUS PLACE ,"Redwood, Christchurch",8051,3,1,2,642.0,150,1990,570.0,2024-08-21,30,False,"$580,000",150,2024Q3,3.8,3.742471247105303
1/203 MAIN NORTH ROAD ,"Redwood, Christchurch",8051,3,1,1,642.0,130,1970,570.0,2023-10-23,31,False,"$510,000",130,2023Q4,4.384615384615385,4.361559495606454
5 PRESTONS ROAD ,"Redwood, Christchurch",8051,3,1,1,812.0,133,1960,570.0,2024-05-09,7,False,"$640,000",133,2024Q2,4.285714285714286,4.302520312066842
72 SARABANDE AVENUE ,"Redwood, Christchurch",8051,3,1,2,529.0,153,1980,570.0,2023-04-14,7,False,"$670,000",153,2023Q2,3.7254901960784315,3.727590024735427
1/23A SAUNDERS PLACE ,"Redwood, Christchurch",8051,3,1,1,642.0,120,1970,570.0,2024-09-04,16,True,"$550,000",120,2024Q3,4.75,4.636374543390773
