iter	Passed	Remaining
1055	58786	50491
1056	58835	50430
1057	58898	50380
1058	58951	50323
1059	59016	50275
1060	59081	50227
1061	59154	50186
1062	59230	50147
1063	59292	50097
1064	59349	50043
1065	59395	49979
1066	59450	49922
1067	59516	49875
1068	59562	49812
1069	59624	49761
1070	59686	49711
1071	59731	49646
1072	59781	49585
1073	59859	49548
1074	59931	49506
1075	59988	49451
1076	60085	49429
1077	60179	49405
1078	60260	49369
1079	60379	49366
1080	60442	49316
1081	60491	49254
1082	60564	49211
1083	60643	49174
1084	60741	49153
1085	60814	49110
1086	60938	49109
1087	61050	49098
1088	61144	49073
1089	61252	49058
1090	61307	49001
1091	61366	48947
1092	61429	48896
1093	61480	48835
1094	61524	48769
1095	61573	48708
1096	61618	48642
1097	61664	48579
1098	61709	48514
1099	61755	48449
1100	61800	48385
1101	61844	48319
1102	61888	48253
1103	61932	48188
1104	61978	48124
1105	62027	48063
1106	62088	48010
1107	62137	47949
1108	62188	47889
1109	62242	47831
1110	62304	47779
1111	62367	47729
1112	62436	47682
1113	62486	47621
1114	62538	47563
1115	62593	47505
1116	62657	47455
1117	62717	47402
1118	62776	47348
1119	62833	47293
1120	62883	47232
1121	62941	47178
1122	62996	47121
1123	63043	47058
1124	63090	46995
1125	63146	46939
1126	63214	46891
1127	63280	46843
1128	63340	46790
1129	63400	46736
1130	63456	46680
1131	63504	46618
1132	63561	46563
1133	63652	46532
1134	63705	46474
1135	63754	46413
1136	63798	46348
1137	63852	46290
1138	63897	46226
1139	63951	46168
1140	64010	46114
1141	64094	46078
1142	64161	46029
1143	64229	45982
1144	64291	45930
1145	64351	45877
1146	64399	45814
1147	64468	45768
1148	64526	45713
1149	64589	45662
1150	64649	45608
1151	64700	45548
1152	64745	45484
1153	64790	45420
1154	64844	45363
1155	64894	45302
1156	64940	45239
1157	64985	45175
1158	65031	45112
1159	65078	45050
1160	65134	44993
1161	65192	44938
1162	65256	44888
1163	65316	44835
1164	65381	44784
1165	65440	44731
1166	65500	44677
1167	65567	44628
1168	65613	44565
1169	65659	44502
1170	65705	44439
1171	65758	44381
1172	65806	44319
1173	65853	44257
1174	65918	44207
1175	65970	44148
1176	66026	44092
1177	66078	44033
1178	66146	43985
1179	66206	43931
1180	66258	43873
1181	66308	43812
1182	66350	43747
1183	66404	43690
1184	66465	43637
1185	66510	43573
1186	66564	43516
1187	66619	43459
1188	66665	43396
1189	66710	43333
1190	66777	43285
1191	66822	43221
1192	66866	43157
1193	66913	43095
1194	66973	43042
1195	67018	42979
1196	67069	42919
1197	67127	42865
1198	67187	42811
1199	67237	42751
1200	67282	42689
1201	67325	42624
1202	67369	42560
1203	67412	42497
1204	67466	42439
1205	67538	42393
1206	67597	42339
1207	67656	42285
1208	67705	42224
1209	67751	42162
1210	67799	42101
1211	67861	42049
1212	67927	41999
1213	67983	41943
1214	68038	41886
1215	68131	41853
1216	68202	41806
1217	68261	41752
1218	68337	41708
1219	68381	41645
1220	68444	41593
1221	68509	41542
1222	68581	41496
1223	68631	41437
1224	68677	41374
1225	68722	41311
1226	68766	41248
1227	68812	41186
1228	68857	41124
1229	68916	41069
1230	68960	41006
1231	69005	40944
1232	69050	40881
1233	69104	40824
1234	69149	40762
1235	69195	40699
1236	69248	40642
1237	69305	40586
1238	69368	40534
1239	69416	40474
1240	69477	40421
1241	69543	40371
1242	69592	40310
1243	69662	40262
1244	69726	40211
1245	69773	40150
1246	69819	40088
1247	69885	40038
1248	69946	39985
1249	70001	39928
1250	70060	39874
1251	70118	39819
1252	70203	39780
1253	70264	39726
1254	70324	39672
1255	70371	39611
1256	70417	39550
1257	70461	39487
1258	70512	39428
1259	70562	39369
1260	70607	39307
1261	70652	39245
1262	70698	39183
1263	70742	39121
1264	70787	39059
1265	70839	39000
1266	70891	38942
1267	70935	38880
1268	70990	38823
1269	71049	38769
1270	71108	38715
1271	71159	38656
1272	71223	38604
1273	71274	38546
1274	71335	38493
1275	71379	38430
1276	71423	38368
1277	71468	38306
1278	71521	38249
1279	71580	38194
1280	71636	38138
1281	71681	38077
1282	71726	38015
1283	71775	37956
1284	71820	37894
1285	71866	37833
1286	71910	37771
1287	71954	37709
1288	71999	37647
1289	72045	37586
1290	72129	37545
1291	72174	37483
1292	72227	37426
1293	72272	37365
1294	72316	37302
1295	72359	37240
1296	72410	37182
1297	72471	37129
1298	72535	37077
1299	72593	37022
1300	72639	36962
1301	72706	36911
1302	72754	36851
1303	72802	36792
1304	72858	36736
1305	72907	36677
1306	72958	36618
1307	73022	36567
1308	73081	36512
1309	73141	36459
1310	73199	36404
1311	73247	36344
1312	73291	36282
1313	73336	36221
1314	73387	36163
1315	73436	36104
1316	73482	36043
1317	73529	35983
1318	73575	35923
1319	73619	35861
1320	73659	35798
1321	73707	35738
1322	73761	35682
1323	73822	35629
1324	73878	35573
1325	73949	35524
1326	74010	35471
1327	74058	35412
1328	74102	35350
1329	74156	35293
1330	74217	35240
1331	74264	35180
1332	74308	35119
1333	74355	35059
1334	74409	35003
1335	74463	34946
1336	74529	34895
1337	74578	34836
1338	74631	34779
1339	74679	34720
1340	74743	34668
1341	74789	34608
1342	74851	34555
1343	74897	34495
1344	74949	34437
1345	75008	34383
1346	75057	34324
1347	75104	34265
1348	75161	34209
1349	75224	34157
1350	75279	34101
1351	75334	34045
1352	75382	33986
1353	75426	33925
1354	75470	33864
1355	75516	33804
1356	75577	33750
1357	75639	33698
1358	75702	33645
1359	75750	33586
1360	75811	33533
1361	75866	33477
1362	75911	33416
1363	75961	33358
1364	76013	33301
1365	76058	33240
1366	76105	33181
1367	76150	33120
1368	76196	33061
1369	76257	33007
1370	76310	32951
1371	76355	32890
1372	76399	32830
1373	76467	32779
1374	76527	32726
1375	76572	32665
1376	76619	32606
1377	76671	32549
1378	76727	32493
1379	76813	32450
1380	76872	32396
1381	76939	32345
1382	77002	32293
1383	77066	32240
1384	77117	32183
1385	77183	32131
1386	77245	32078
1387	77309	32026
1388	77367	31971
1389	77426	31917
1390	77476	31859
1391	77529	31802
1392	77578	31744
1393	77640	31691
1394	77700	31637
1395	77767	31586
1396	77830	31533
1397	77887	31478
1398	77951	31425
1399	78004	31368
1400	78062	31314
1401	78136	31265
1402	78201	31213
1403	78259	31158
1404	78305	31099
1405	78366	31045
1406	78421	30989
1407	78465	30929
1408	78510	30869
1409	78554	30809
1410	78599	30749
1411	78644	30689
1412	78688	30629
1413	78733	30568
1414	78777	30508
1415	78847	30458
1416	78892	30399
1417	78953	30345
1418	79003	30287
1419	79048	30227
1420	79093	30167
1421	79138	30108
1422	79202	30055
1423	79261	30001
1424	79349	29957
1425	79441	29916
1426	79511	29865
1427	79558	29806
1428	79619	29752
1429	79673	29696
1430	79730	29641
1431	79775	29581
1432	79819	29521
1433	79866	29462
1434	79922	29407
1435	79968	29347
1436	80012	29287
1437	80056	29227
1438	80108	29170
1439	80175	29119
1440	80238	29066
1441	80299	29012
1442	80359	28958
1443	80410	28901
1444	80455	28841
1445	80499	28781
1446	80543	28721
1447	80587	28661
1448	80631	28602
1449	80691	28548
1450	80749	28493
1451	80800	28436
1452	80857	28380
1453	80904	28321
1454	80949	28262
1455	80999	28205
1456	81048	28147
1457	81102	28091
1458	81164	28037
1459	81229	27985
1460	81282	27928
1461	81357	27879
1462	81405	27821
