index,target_value,target_zscore,Bed_value,Bath_value,Car_value,Land Size (sqm)_value,Floor Size (sqm)_value,Year Built_value,Days on Market_value,Capital Value_value,Last Rental Price_value,Bed_zscore,Bath_zscore,Car_zscore,Land Size (sqm)_zscore,Floor Size (sqm)_zscore,Year Built_zscore,Days on Market_zscore,Capital Value_zscore,Last Rental Price_zscore
550,430.0,-1.3040333333333332,2,1,1.0,508.0,70.0,1970.0,7.0,425000,430.0,-0.6745,0.0,0.0,0.0,-1.1241666666666668,-0.22483333333333333,0.0,-1.379659090909091,-1.3040333333333332
552,395.0,-1.6188,2,1,1.0,508.0,60.0,1970.0,7.0,325000,395.0,-0.6745,0.0,0.0,0.0,-1.349,-0.22483333333333333,0.0,-1.9928409090909092,-1.6188
553,420.0,-1.3939666666666666,2,1,1.0,508.0,60.0,1975.0,7.0,325000,420.0,-0.6745,0.0,0.0,0.0,-1.349,-0.11241666666666666,0.0,-1.9928409090909092,-1.3939666666666666
558,415.0,-1.4389333333333334,2,1,1.0,508.0,65.0,1970.0,7.0,495000,415.0,-0.6745,0.0,0.0,0.0,-1.2365833333333331,-0.22483333333333333,0.0,-0.9504318181818182,-1.4389333333333334
561,380.0,-1.7537,2,1,1.0,607.0,114.0,1960.0,7.0,600000,380.0,-0.6745,0.0,0.0,0.6240700934579438,-0.1349,-0.44966666666666666,0.0,-0.3065909090909091,-1.7537
563,450.0,-1.1241666666666668,2,1,1.0,508.0,100.0,1960.0,7.0,520000,450.0,-0.6745,0.0,0.0,0.0,-0.44966666666666666,-0.44966666666666666,0.0,-0.7971363636363636,-1.1241666666666668
567,400.0,-1.5738333333333332,2,1,1.0,394.0,100.0,1950.0,7.0,590000,400.0,-0.6745,0.0,0.0,-0.718626168224299,-0.44966666666666666,-0.6745,0.0,-0.3679090909090909,-1.5738333333333332
569,430.0,-1.3040333333333332,2,1,1.0,508.0,80.0,1960.0,7.0,630000,430.0,-0.6745,0.0,0.0,0.0,-0.8993333333333333,-0.44966666666666666,0.0,-0.12263636363636364,-1.3040333333333332
577,450.0,-1.1241666666666668,2,1,1.0,508.0,85.0,1960.0,7.0,500000,450.0,-0.6745,0.0,0.0,0.0,-0.7869166666666666,-0.44966666666666666,0.0,-0.9197727272727273,-1.1241666666666668
586,400.0,-1.5738333333333332,2,1,1.0,508.0,70.0,1960.0,7.0,440000,400.0,-0.6745,0.0,0.0,0.0,-1.1241666666666668,-0.44966666666666666,0.0,-1.2876818181818181,-1.5738333333333332
588,450.0,-1.1241666666666668,2,1,1.0,759.0,80.0,1940.0,7.0,810000,450.0,-0.6745,0.0,0.0,1.5822383177570094,-0.8993333333333333,-0.8993333333333333,0.0,0.9810909090909091,-1.1241666666666668
591,460.0,-1.0342333333333333,2,1,1.0,508.0,90.0,1960.0,7.0,540000,460.0,-0.6745,0.0,0.0,0.0,-0.6745,-0.44966666666666666,0.0,-0.6745,-1.0342333333333333
592,450.0,-1.1241666666666668,2,1,1.0,508.0,90.0,1960.0,7.0,530000,450.0,-0.6745,0.0,0.0,0.0,-0.6745,-0.44966666666666666,0.0,-0.7358181818181818,-1.1241666666666668
595,420.0,-1.3939666666666666,2,1,1.0,508.0,90.0,1975.0,7.0,500000,420.0,-0.6745,0.0,0.0,0.0,-0.6745,-0.11241666666666666,0.0,-0.9197727272727273,-1.3939666666666666
599,450.0,-1.1241666666666668,2,1,1.0,508.0,110.0,1970.0,7.0,560000,450.0,-0.6745,0.0,0.0,0.0,-0.22483333333333333,-0.22483333333333333,0.0,-0.5518636363636363,-1.1241666666666668
