Last Rental Date,Bed,Last Rental Price,Dollar_Volume,Volume,VWAP_3M,VWAP_2Y,Volume_eq,VWAP_3M_eq,VWAP_2Y_eq,Rolling_Median_3M_bed,Rolling_Median_2Y_bed,Volume_all,VWAP_3M_all,VWAP_2Y_all,Volume_all_eq,VWAP_3M_all_eq,VWAP_2Y_all_eq,Percentage_Diff,Percentage_Diff_eq,Percentage_Diff_all,Percentage_Diff_all_eq,RollMed_VWAP_3M_all_eq_30D,RollMed_VWAP_2Y_all_eq_730D
2024-07-23,0.0,780000.0,780000.0,780000.0,35909.94733762434,95021.4843617006,1.0,28483.333333333332,53309.482142857145,23500.0,35000.0,780000.0,35909.94733762434,95021.4843617006,1.0,28483.333333333332,53309.482142857145,-62.208602003171585,-46.56985551462579,-62.208602003171585,-46.56985551462579,28483.333333333332,69934.08695652174
2024-07-24,0.0,65000.0,65000.0,65000.0,737012.091898428,241966.04542462612,1.0,275666.6666666667,66597.83636363636,25000.0,35000.0,65000.0,737012.091898428,241966.04542462612,1.0,275666.6666666667,66597.83636363636,204.59318810829257,313.92736118554404,204.59318810829257,313.92736118554404,152075.0,69575.39130434784
2024-07-26,0.0,17550.0,17550.0,17550.0,688042.6008968609,238880.4337989866,1.0,223000.0,66569.30357142857,45000.0,35897.5,17550.0,688042.6008968609,238880.4337989866,1.0,223000.0,66569.30357142857,188.02802722463065,234.98923383015713,188.02802722463065,234.98923383015713,223000.0,69216.69565217392
2024-07-29,0.0,229225.0,229225.0,229225.0,675105.2745863339,237843.34377832618,1.0,181910.0,65709.31578947368,25000.0,35000.0,229225.0,675105.2745863339,237843.34377832618,1.0,181910.0,65709.31578947368,183.84451036626143,176.8405024682073,183.84451036626143,176.8405024682073,202455.0,69085.87974098057
2024-07-31,0.0,32400.0,32400.0,32400.0,585353.6503040548,237346.30960666784,1.0,189795.83333333334,68528.55172413793,45000.0,35897.5,32400.0,585353.6503040548,237346.30960666784,1.0,189795.83333333334,68528.55172413793,146.62428974527032,176.95876909431493,146.62428974527032,176.95876909431493,189795.83333333334,68955.06382978724
2024-08-01,0.0,20800.0,20800.0,20800.0,570056.4502529511,235689.16769718216,1.0,167310.7142857143,67916.20338983051,32400.0,35000.0,20800.0,570056.4502529511,235689.16769718216,1.0,167310.7142857143,67916.20338983051,141.867904164934,146.3487443863311,141.867904164934,146.3487443863311,185852.9166666667,68828.25531914894
2024-08-05,0.0,65000.0,65000.0,65000.0,560471.9084922083,234579.47194636552,1.0,148996.875,67130.93333333333,28700.0,35000.0,65000.0,560471.9084922083,234579.47194636552,1.0,148996.875,67130.93333333333,138.92623844781914,121.94965510187058,138.92623844781914,121.94965510187058,181910.0,68701.44680851063
2024-08-13,0.0,77500.0,77500.0,77500.0,534850.3376161022,231886.32425768216,1.0,139663.88888888888,67096.0,32400.0,35000.0,77500.0,534850.3376161022,231886.32425768216,1.0,139663.88888888888,67096.0,130.65195385207505,108.15531311686073,130.65195385207505,108.15531311686073,174610.35714285716,68528.55172413793
2024-08-13,0.0,45000.0,45000.0,45000.0,516440.8869692756,231895.65706307077,1.0,145830.55555555556,67087.80327868853,65000.0,35000.0,45000.0,516440.8869692756,231895.65706307077,1.0,145830.55555555556,67087.80327868853,122.7039926102689,117.37267942693374,122.7039926102689,117.37267942693374,167310.7142857143,68253.52586206896
2024-08-30,0.0,82740.0,82740.0,82740.0,500812.7244516474,229862.88430485557,1.0,135747.5,66731.54838709677,55000.0,35897.5,82740.0,500812.7244516474,229862.88430485557,1.0,135747.5,66731.54838709677,117.87454985009438,103.4232732208686,117.87454985009438,103.4232732208686,145830.55555555556,67951.625
2024-09-02,0.0,25875.0,25875.0,25875.0,476794.54853962775,230091.18495781295,1.0,130928.63636363637,66049.93548387097,65000.0,35897.5,25875.0,476794.54853962775,230091.18495781295,1.0,130928.63636363637,66049.93548387097,107.21982401327008,98.2267437575445,107.21982401327008,98.2267437575445,139663.88888888888,67924.75
2024-09-09,0.0,38000.0,38000.0,38000.0,468836.27632000763,228808.9401213937,1.0,122174.16666666667,65412.23809523809,55000.0,35000.0,38000.0,468836.27632000763,228808.9401213937,1.0,122174.16666666667,65412.23809523809,104.90295356084789,86.77570164895604,104.90295356084789,86.77570164895604,135747.5,67916.20338983051
2024-09-12,0.0,33500.0,33500.0,33500.0,465269.3050118654,229754.27264821314,1.0,123257.5,64904.380952380954,55000.0,35000.0,33500.0,465269.3050118654,229754.27264821314,1.0,123257.5,64904.380952380954,102.50735694663649,89.90628705084109,102.50735694663649,89.90628705084109,127093.06818181818,67543.08128675199
2024-09-16,0.0,31750.0,31750.0,31750.0,455706.7191704295,228159.4742470302,1.0,116353.07692307692,64413.6875,45000.0,35000.0,31750.0,455706.7191704295,228159.4742470302,1.0,116353.07692307692,64413.6875,99.73166605259267,80.63408793833908,99.73166605259267,80.63408793833908,123257.5,67169.95918367348
2024-10-04,0.0,132000.0,132000.0,132000.0,446990.61660644674,226658.3520626947,1.0,110310.0,63911.16923076923,41500.0,35000.0,132000.0,446990.61660644674,226658.3520626947,1.0,110310.0,63911.16923076923,97.20897665522918,72.59893900813293,97.20897665522918,72.59893900813293,119263.6217948718,67130.93333333333
2024-10-18,0.0,21840.0,21840.0,21840.0,422187.31811565673,226739.1705468047,1.0,111756.0,64249.63076923077,45000.0,35000.0,21840.0,422187.31811565673,226739.1705468047,1.0,111756.0,64249.63076923077,86.19955127184635,73.94029920794517,86.19955127184635,73.94029920794517,111033.0,67096.0
2024-10-29,0.0,50000.0,50000.0,50000.0,417038.5203276449,228075.38711465694,1.0,106136.25,63662.553846153845,41500.0,34000.0,50000.0,417038.5203276449,228075.38711465694,1.0,106136.25,63662.553846153845,82.85117285276965,66.71692162473968,82.85117285276965,66.71692162473968,110310.0,67087.80327868853
2024-11-06,0.0,240000.0,240000.0,240000.0,70800.09186625107,227156.14041574165,1.0,52000.416666666664,64047.16923076923,41500.0,35000.0,240000.0,70800.09186625107,227156.14041574165,1.0,52000.416666666664,64047.16923076923,-68.8319709356425,-18.80918814803,-68.8319709356425,-18.80918814803,106136.25,66731.54838709677
2024-11-18,0.0,24960.0,24960.0,24960.0,124802.55372941577,229364.81272107127,1.0,70745.90909090909,67216.4,45000.0,35000.0,24960.0,124802.55372941577,229364.81272107127,1.0,70745.90909090909,67216.4,-45.58775068903565,5.250964185688455,-45.58775068903565,5.250964185688455,70745.90909090909,66664.69237536658
2024-11-29,0.0,44200.0,44200.0,44200.0,131803.0498483101,231256.09894701684,1.0,68066.5,67555.09375,35750.0,35000.0,44200.0,131803.0498483101,231256.09894701684,1.0,68066.5,67555.09375,-43.00558971268146,0.7570210055403853,-43.00558971268146,0.7570210055403853,68066.5,66731.54838709677
2024-12-06,0.0,31750.0,31750.0,31750.0,132094.92750632664,229363.15063170172,1.0,64212.5,67195.78461538462,35750.0,35000.0,31750.0,132094.92750632664,229363.15063170172,1.0,64212.5,67195.78461538462,-42.40795561862632,-4.439690127082152,-42.40795561862632,-4.439690127082152,68066.5,66909.67583289265
2024-12-11,0.0,110000.0,110000.0,110000.0,131419.75648148148,227937.02226265127,1.0,64800.0,66658.72727272728,35750.0,35000.0,110000.0,131419.75648148148,227937.02226265127,1.0,64800.0,66658.72727272728,-42.34383024884531,-2.788422984919123,-42.34383024884531,-2.788422984919123,66433.25,66731.54838709677
