Index,Bed,zRent,zCapVal,isRemoved,Land Size (sqm)_val,Land Size (sqm)_z,Floor Size (sqm)_val,Floor Size (sqm)_z,Year Built_val,Year Built_z,Capital Value_val,Capital Value_z,Last Rental Price_val,Last Rental Price_z
64,0.0,0.25052857142857143,0.12388775510204082,False,1847.0,0.0,357.0,-0.168625,1999.0,-0.06131818181818182,1090000,0.12388775510204082,45000.0,0.25052857142857143
65,0.0,0.1349,-0.8328010204081633,False,1847.0,0.0,112.0,-0.8688474576271187,2003.0,0.18395454545454545,395000,-0.8328010204081633,42000.0,0.1349
66,0.0,0.057814285714285714,-0.5781428571428572,False,258.0,-1.666843701399689,263.0,-0.43728177966101694,2000.0,0.0,580000,-0.5781428571428572,40000.0,0.057814285714285714
67,0.0,0.057814285714285714,-0.23401020408163264,False,802.0,-1.0961936236391912,650.0,0.6687838983050848,1960.0,-2.4527272727272726,830000,-0.23401020408163264,40000.0,0.057814285714285714
68,0.0,0.03854285714285714,-0.48178571428571426,False,443.0,-1.4727807153965784,259.0,-0.4487139830508475,2017.0,1.0424090909090908,650000,-0.48178571428571426,39500.0,0.03854285714285714
69,0.0,0.0,0.0,False,1847.0,0.0,352.0,-0.18291525423728813,2015.0,0.9197727272727273,1000000,0.0,38500.0,0.0
70,0.0,-0.005396,-0.4129591836734694,False,1847.0,0.0,223.0,-0.551603813559322,2016.0,0.9810909090909091,700000,-0.4129591836734694,38360.0,-0.005396
71,0.0,-0.01927142857142857,-0.4955510204081633,False,1847.0,0.0,173.0,-0.6945063559322034,2007.0,0.42922727272727274,640000,-0.4955510204081633,38000.0,-0.01927142857142857
72,0.0,-0.029292571428571428,1.1012244897959185,False,2173.0,0.34197045101088647,1300.0,2.5265169491525423,1977.0,-1.4103181818181818,1800000,1.1012244897959185,37740.0,-0.029292571428571428
73,0.0,-0.03854285714285714,1.8858469387755101,False,2600.0,0.7898888024883359,1430.0,2.8980635593220336,1966.0,-2.0848181818181817,2370000,1.8858469387755101,37500.0,-0.03854285714285714
74,0.0,-0.03854285714285714,-0.48178571428571426,False,1847.0,0.0,218.0,-0.5658940677966101,2010.0,0.6131818181818182,650000,-0.48178571428571426,37500.0,-0.03854285714285714
75,0.0,-0.06571557142857143,-0.4542551020408163,False,1847.0,0.0,275.0,-0.4029851694915254,2010.0,0.6131818181818182,670000,-0.4542551020408163,36795.0,-0.06571557142857143
76,0.0,-0.09635714285714286,-0.5230816326530612,False,405.0,-1.5126423017107309,340.0,-0.21721186440677967,1979.0,-1.2876818181818181,620000,-0.5230816326530612,36000.0,-0.09635714285714286
77,0.0,-0.1349,-0.646969387755102,False,1847.0,0.0,180.0,-0.6745,2018.0,1.1037272727272727,530000,-0.646969387755102,35000.0,-0.1349
78,0.0,-0.1349,-0.44048979591836734,False,1847.0,0.0,265.0,-0.4315656779661017,2000.0,0.0,680000,-0.44048979591836734,35000.0,-0.1349
79,0.0,-0.13682714285714284,2.587877551020408,False,1070.0,-0.8150645412130638,689.0,0.7802478813559321,1990.0,-0.6131818181818182,2880000,2.587877551020408,34950.0,-0.13682714285714284
80,0.0,-0.17344285714285715,-0.6332040816326531,False,1847.0,0.0,197.0,-0.6259131355932203,2021.0,1.2876818181818181,540000,-0.6332040816326531,34000.0,-0.17344285714285715
81,0.0,-0.17344285714285715,-0.6332040816326531,False,364.0,-1.5556508553654744,250.0,-0.4744364406779661,1970.0,-1.8395454545454546,540000,-0.6332040816326531,34000.0,-0.17344285714285715
82,0.0,-0.17344285714285715,-0.5919081632653062,False,1847.0,0.0,232.0,-0.5258813559322034,2000.0,0.0,570000,-0.5919081632653062,34000.0,-0.17344285714285715
83,0.0,-0.19271428571428573,-0.646969387755102,False,1847.0,0.0,195.0,-0.6316292372881356,2020.0,1.2263636363636363,530000,-0.646969387755102,33500.0,-0.19271428571428573
84,0.0,-0.21198571428571428,-0.7433265306122449,False,1847.0,0.0,167.0,-0.7116546610169492,2020.0,1.2263636363636363,460000,-0.7433265306122449,33000.0,-0.21198571428571428
85,0.0,-0.23125714285714286,-0.4542551020408163,False,1847.0,0.0,227.0,-0.5401716101694914,2015.0,0.9197727272727273,670000,-0.4542551020408163,32500.0,-0.23125714285714286
86,0.0,-0.23511142857142855,-0.7295612244897959,False,1847.0,0.0,168.0,-0.7087966101694916,1990.0,-0.6131818181818182,470000,-0.7295612244897959,32400.0,-0.23511142857142855
87,0.0,-0.25052857142857143,-0.660734693877551,False,1847.0,0.0,173.0,-0.6945063559322034,2000.0,0.0,520000,-0.660734693877551,32000.0,-0.25052857142857143
88,0.0,-0.25052857142857143,-0.5506122448979592,False,1847.0,0.0,251.0,-0.4715783898305085,2007.0,0.42922727272727274,600000,-0.5506122448979592,32000.0,-0.25052857142857143
89,0.0,-0.25052857142857143,-0.5093163265306122,False,1847.0,0.0,236.0,-0.5144491525423729,2015.0,0.9197727272727273,630000,-0.5093163265306122,32000.0,-0.25052857142857143
90,0.0,-0.26016428571428574,-0.6745,False,1847.0,0.0,180.0,-0.6745,2021.0,1.2876818181818181,510000,-0.6745,31750.0,-0.26016428571428574
91,0.0,-0.26016428571428574,-0.6745,False,1847.0,0.0,178.0,-0.6802161016949153,2021.0,1.2876818181818181,510000,-0.6745,31750.0,-0.26016428571428574
92,0.0,-0.3276142857142857,-0.8328010204081633,False,1847.0,0.0,225.0,-0.5458877118644068,2000.0,0.0,395000,-0.8328010204081633,30000.0,-0.3276142857142857
93,0.0,-0.3468857142857143,-0.15141836734693878,False,610.0,-1.297599533437014,398.0,-0.051444915254237285,1960.0,-2.4527272727272726,890000,-0.15141836734693878,29500.0,-0.3468857142857143
94,0.0,-0.3468857142857143,-0.6745,False,228.0,-1.6983133748055987,320.0,-0.2743728813559322,1960.0,-2.4527272727272726,510000,-0.6745,29500.0,-0.3468857142857143
95,0.0,-0.36615714285714285,-0.646969387755102,False,1847.0,0.0,211.0,-0.5859004237288136,2000.0,0.0,530000,-0.646969387755102,29000.0,-0.36615714285714285
96,0.0,-0.4047,-0.8328010204081633,False,1847.0,0.0,225.0,-0.5458877118644068,2000.0,0.0,395000,-0.8328010204081633,28000.0,-0.4047
97,0.0,-0.4047,-0.8328010204081633,False,1847.0,0.0,225.0,-0.5458877118644068,2000.0,0.0,395000,-0.8328010204081633,28000.0,-0.4047
98,0.0,-0.4047,-0.7089132653061224,False,1847.0,0.0,181.0,-0.6716419491525424,2000.0,0.0,485000,-0.7089132653061224,28000.0,-0.4047
99,0.0,-0.42397142857142855,-0.6194387755102041,False,1847.0,0.0,96.0,-0.9145762711864407,2000.0,0.0,550000,-0.6194387755102041,27500.0,-0.42397142857142855
100,0.0,-0.4305237142857143,2.3538673469387756,False,1733.0,-0.11958475894245724,1226.0,2.3150211864406782,2009.0,0.5518636363636363,2710000,2.3538673469387756,27330.0,-0.4305237142857143
101,0.0,-0.4663685714285714,-0.4129591836734694,False,1559.0,-0.30210886469673404,670.0,0.7259449152542373,1970.0,-1.8395454545454546,700000,-0.4129591836734694,26400.0,-0.4663685714285714
102,0.0,-0.48178571428571426,-0.9153928571428571,False,1847.0,0.0,160.0,-0.7316610169491525,1988.0,-0.7358181818181818,335000,-0.9153928571428571,26000.0,-0.48178571428571426
103,0.0,-0.48178571428571426,0.0,False,1847.0,0.0,352.0,-0.18291525423728813,2015.0,0.9197727272727273,1000000,0.0,26000.0,-0.48178571428571426
104,0.0,-0.4866035714285714,2.4089285714285715,False,3886.0,2.138888802488336,657.0,0.6887902542372881,2021.0,1.2876818181818181,2750000,2.4089285714285715,25875.0,-0.4866035714285714
105,0.0,-0.5203285714285715,-0.7089132653061224,False,1847.0,0.0,137.0,-0.7973961864406779,2000.0,0.0,485000,-0.7089132653061224,25000.0,-0.5203285714285715
106,0.0,-0.5203285714285715,-0.7157959183673469,False,1847.0,0.0,141.0,-0.7859639830508474,2000.0,0.0,480000,-0.7157959183673469,25000.0,-0.5203285714285715
107,0.0,-0.5203285714285715,0.0,False,1847.0,0.0,352.0,-0.18291525423728813,2015.0,0.9197727272727273,1000000,0.0,25000.0,-0.5203285714285715
108,0.0,-0.5205212857142857,-0.8328010204081633,False,1847.0,0.0,112.0,-0.8688474576271187,2003.0,0.18395454545454545,395000,-0.8328010204081633,24995.0,-0.5205212857142857
109,0.0,-0.5588714285714286,0.9360408163265306,False,2025.0,0.18672006220839812,1200.0,2.2407118644067796,1980.0,-1.2263636363636363,1680000,0.9360408163265306,24000.0,-0.5588714285714286
110,0.0,-0.5588714285714286,-0.9016275510204081,False,1847.0,0.0,134.0,-0.8059703389830508,1988.0,-0.7358181818181818,345000,-0.9016275510204081,24000.0,-0.5588714285714286
111,0.0,-0.5588714285714286,-0.3991938775510204,False,506.0,-1.406694401244168,480.0,0.18291525423728813,1968.0,-1.9621818181818182,710000,-0.3991938775510204,24000.0,-0.5588714285714286
